Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","417","Kyrgyzstan","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.51","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","418","Lao People's Democratic Republic","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.305","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","428","Latvia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.254","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","426","Lesotho","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.618","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","430","Liberia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.447","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","440","Lithuania","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.108","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","442","Luxembourg","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.59","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","450","Madagascar","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.382","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","454","Malawi","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.365","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","458","Malaysia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.679","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","462","Maldives","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.095","E","Estimated value"
